Kanalnummer	Impulse	Fit(Impulse)	Fit(Impulse)
Kanal/#	Impulse/#	Impulse/#	Impulse/#

392	145	18	4
393	138	18	4
394	138	18	4
395	140	18	4
396	153	18	4
397	129	18	4
398	135	18	4
399	143	18	4
400	136	18	4
401	151	18	4
402	144	18	4
403	167	18	4
404	133	18	4
405	127	18	4
406	136	18	4
407	129	18	4
408	129	18	4
409	126	18	4
410	117	18	4
411	149	18	4
412	139	18	4
413	139	18	4
414	137	18	4
415	160	18	4
416	125	18	4
417	149	18	4
418	122	18	4
419	117	18	4
420	164	18	4
421	132	18	4
422	164	18	4
423	141	18	4
424	98	18	4
425	147	18	4
426	129	18	4
427	129	18	4
428	164	18	4
429	145	18	4
430	128	18	4
431	144	18	4
432	114	18	4
433	139	18	4
434	131	18	4
435	163	18	4
436	154	18	4
437	119	18	4
438	143	18	4
439	119	18	4
440	111	18	4
441	131	18	4
442	121	18	4
443	161	18	4
444	151	18	4
445	134	18	4
446	138	18	4
447	152	18	4
448	91	18	4
449	122	18	4
450	154	18	4
451	130	18	4
452	160	18	4
453	140	18	4
454	166	18	4
455	102	18	4
456	121	18	4
457	155	18	4
458	137	18	4
459	121	18	4
460	182	18	4
461	113	18	4
462	133	18	4
463	135	18	4
464	101	18	4
465	146	18	4
466	150	18	4
467	138	18	4
468	155	18	4
469	114	18	4
470	140	18	4
471	111	18	4
472	109	18	4
473	122	18	4
474	120	18	4
475	148	18	4
476	122	18	4
477	124	18	4
478	119	18	4
479	177	18	4
480	117	18	4
481	147	18	4
482	123	18	4
483	124	18	4
484	146	18	4
485	121	18	4
486	186	18	4
487	120	18	4
488	137	18	4
489	147	18	4
490	134	18	4
491	120	18	4
492	168	18	4
493	137	18	4
494	143	18	4
495	125	18	4
496	126	18	4
497	148	18	4
498	142	18	4
499	130	18	4
500	149	18	4
501	123	18	4
502	172	18	4
503	118	18	4
504	93	18	4
505	170	18	4
506	129	18	4
507	148	18	4
508	136	18	4
509	137	18	4
510	137	18	4
511	187	18	4
512	96	18	4
513	129	18	4
514	143	18	4
515	149	18	4
516	154	18	4
517	143	18	4
518	136	18	4
519	158	18	4
520	144	18	4
521	174	18	4
522	133	18	4
523	152	18	4
524	152	18	4
525	184	18	4
526	145	18	4
527	167	18	4
528	154	18	4
529	165	18	4
530	193	18	4
531	168	18	4
532	164	18	4
533	136	18	4
534	158	18	4
535	143	18	4
536	165	18	4
537	155	18	4
538	150	18	4
539	191	18	4
540	166	18	4
541	165	18	4
542	173	18	4
543	182	18	4
544	118	18	4
545	153	18	4
546	153	18	4
547	149	18	4
548	167	18	4
549	139	18	4
550	217	18	4
551	160	18	4
552	130	18	4
553	175	18	4
554	166	18	4
555	173	18	4
556	180	18	4
557	162	18	4
558	161	18	4
559	165	18	4
